@relation sample_features_100_ips

@attribute ip numeric
@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k numeric
@attribute l numeric
@attribute m numeric
@attribute n numeric
@attribute o numeric
@attribute p numeric
@attribute q numeric
@attribute r numeric
@attribute s numeric
@attribute t numeric
@attribute u numeric
@attribute v numeric
@attribute w numeric
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute blah numeric
@attribute threev numeric
@attribute something numeric
@attribute aa numeric
@attribute ab numeric
@attribute ac numeric
@attribute af numeric
@attribute ag numeric
@attribute ap numeric

@data
806092,0.95,0.83,3,0,0,0,0,0,0,25,16,0,0,0.895,0,0,0,0.125,0.08,0,1,100,3.23,9.729821,0,59.776,3.35056,9.261645,40,13812,436.065,1347.394583,40,576,136.55,62.34538,25,175
806886,1,1,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0.571429,0.142857,0,1,1,1,0,0,0,0,0,46,46,46,0,46,46,46,0,0,7
853154,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,1
853404,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,129,129,129,0,129,129,129,0,0,1
853444,1,0.285714,1,0,0,0,0,0,0,2,4,0,0,0.285714,0,0,0,0.285714,0.571429,0,1,3,2.571429,0.672292,0,9.632,7.492571,2.996493,116,211,155.428571,23.939016,50,131,66.714286,24.823542,3,4
855543,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,5,5,5,0,0.832,0.832,0.832,0,230,230,230,0,46,46,46,0,0,1
858216,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,5,5,5,0,0.8,0.8,0.8,0,230,230,230,0,46,46,46,0,0,1
859044,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,2,2,2,0,2.912,2.912,2.912,0,258,258,258,0,129,129,129,0,0,1
864978,0.142857,0.142857,1,0,0,0,0,0,0,4,19,0,0.047619,0.047619,0,0.047619,0,0.190476,0.904762,0.095238,1,7,3.142857,1.202761,0,8.192,5.638095,2.409287,46,504,144.571429,87.064767,41,72,44.142857,6.420815,18,3
865357,1,0.666667,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0.333333,0.166667,0,1,5,2.333333,1.533816,0,21.952,7.258667,8.361134,48,250,115.333333,77.457726,48,50,48.666667,0.766908,0,6
866954,1,1,2,0,0,0,0,0,0,10,1,0,0,1,0,0,0,0.833333,0.083333,0,1,1,1,0,0,0,0,0,126,326,185.166667,74.01374,126,326,185.166667,74.01374,0,12
873448,1,1,2,0,0,0,0,0,0,11,1,0,0,1,0,0,0,0.037415,0.003401,0,1,1,1,0,0,0,0,0,126,126,126,0,126,126,126,0,0,294
913414,0.384615,0.384615,1,0,0,0,0,0,0,1,12,0,0.615385,0.153846,0,0.153846,0.076923,0.076923,0.923077,0.692308,1,16,6.923077,4.49093,0,14.336,4.371692,4.250475,49,1207,421.769231,308.816178,49,75,56.615385,6.092825,11,2
1769491,0.733333,0.333333,2,0,0,0,0,0,0,4,3,0,0.266667,0.333333,0,0.133333,0,0.266667,0.2,0.266667,1,17,5.8,4.785256,0,56.128,14.749867,19.338002,95,1780,436.4,391.569542,42,197,80.133333,41.569424,4,11
1769553,1,1,2,0,0,0,0,0,0,158,155,0,0,0,0,0,0,0.993711,0.974843,0,2,2,2,0,2.816,3.168,2.955069,0.060557,96,96,96,0,48,48,48,0,159,0
1769573,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,2,2,2,0,1.76,1.76,1.76,0,630,630,630,0,315,315,315,0,0,1
1769643,1,1,2,0,0,0,0,0,0,372,374,0,0,0.00266,0,0,0,0.989362,0.994681,0,1,2,1.99734,0.051359,0,3.2,2.978383,0.171631,104,131,104.071809,1.386701,52,131,52.210106,4.057384,375,1
1769739,1,1,1,0,0,0,0,0,0,25,25,0,0,0,0,0,0,1,1,0,2,2,2,0,2.848,3.072,2.95296,0.065435,96,96,96,0,48,48,48,0,25,0
1769836,1,1,4,0,0,0,0,0,0,1053,1050,0,0,0,0,0,0,0.990593,0.98777,0,1,2,1.998119,0.043306,0,3.168,2.955439,0.141556,52,104,103.902164,2.251891,52,52,52,0,1063,0
1770582,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,315,315,315,0,315,315,315,0,0,1
1770670,1,1,3,0,0,0,0,0,0,335,323,0,0,0,0,0,0,0.994065,0.958457,0,2,2,2,0,2.816,3.2,2.994421,0.073467,96,96,96,0,48,48,48,0,337,0
1771123,1,1,2,0,0,0,0,0,0,448,433,0,0,0,0,0,0,0.995556,0.962222,0,2,2,2,0,2.816,3.136,2.960853,0.059692,96,96,96,0,48,48,48,0,450,0
1771333,1,1,2,0,0,0,0,0,0,339,339,0,0,0,0,0,0,0.997059,0.997059,0,2,2,2,0,2.816,3.2,2.969976,0.07091,104,104,104,0,52,52,52,0,340,0
1771376,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,1
