@relation test_nov-1-30

@attribute ip numeric
@attribute ' rt_w/o_ACK' numeric
@attribute ' rt_under_3' numeric
@attribute ' max_ips_1sub' numeric
@attribute ' max_high' numeric
@attribute ' max_low' numeric
@attribute ' max_cnsc_high' numeric
@attribute ' max_cnsc_low' numeric
@attribute ' num_uniq_dsts' numeric
@attribute ' num_uniq_srcp' numeric
@attribute ' avg_srcp/dst' numeric
@attribute ' rt_std_flags' numeric
@attribute ' rt_over_60' numeric
@attribute ' med_pack/dst' numeric
@attribute ' rt_std_pttrn' numeric
@attribute ' rt_bksctr_pttrn' numeric
@attribute ' rt_dst' numeric
@attribute ' rt_srcp' numeric
@attribute ' rt_bksctr_flags' numeric
@attribute ' min_pack' numeric
@attribute ' max_pack' numeric
@attribute ' mean_pack' numeric
@attribute ' std_dev_pack' numeric
@attribute ' min_dur' numeric
@attribute ' max_dur' numeric
@attribute ' mean_dur' numeric
@attribute ' std_dev_dur' numeric
@attribute ' min_bytes' numeric
@attribute ' max_bytes' numeric
@attribute ' mean_bytes' numeric
@attribute ' std_dev_bytes' numeric
@attribute ' min_bpp' numeric
@attribute ' max_bpp' numeric
@attribute ' mean_bpp' numeric
@attribute ' std_dev_bpp' numeric
@attribute ' tcp_count' numeric
@attribute ' udp_count' numeric
@attribute ' label' numeric

@data
854083,1,1,4,4,0,1,1,13,1,1,0,1,2,0,0,0.371429,0.028571,0,1,2,1.057143,0.200682,0,8.992,0.291657,1.382587,90,300,167.742857,68.726603,90,300,160.371429,65.413458,0,35,1
854560,1,0.782178,2,3,0,1,1,11,1,1,0,1,1,0,0,0.108911,0.009901,0,1,20,2.336634,3.167608,0,58.144,6.491564,12.900035,126,2580,301.336634,408.657907,126,129,128.910891,0.470384,0,101,1
862568,1,0.951613,1,2,0,1,1,10,4,1.5,0,1,2,0,0,0.16129,0.064516,0,1,3,1.129032,0.440227,0,15.488,0.723097,3.066748,90,483,151.741935,81.868745,90,177,130.451613,13.275759,0,62,1
862999,1,1,3,3,0,1,1,30,1,1,0,1,1,0,0,0.526316,0.017544,0,1,2,1.035088,0.176599,0,8.768,0.154386,1.138743,126,354,171.017544,76.501679,126,326,165.22807,70.874858,0,57,1
867058,1,0.971429,2,2,0,1,1,9,2,1,0,0.885714,2,0,0,0.257143,0.057143,0,1,5,1.114286,0.636124,0,1.216,0.034743,0.193382,54,296,132.628571,46.847101,54,296,126.457143,42.664816,0,35,1
882150,1,0.658824,2,1,0,1,1,31,1,1,0,0.023529,6,0,0,0.364706,0.011765,0,1,5,2.176471,1.666806,0,22.368,6.619106,9.494968,48,315,111.529412,86.019994,48,315,52.752941,25.480761,0,85,1
913579,1,0.730337,2,2,0,1,1,4,12,3.75,0,0.797753,54.5,0,0,0.044944,0.134831,0,1,9,2.337079,2.562046,0,19.072,3.249258,6.285707,95,796,210.853933,142.605282,58,239,124.067416,45.452498,11,78,1
1769572,0.78392,0.256281,1,25,0,1,1,5,3,1.4,0.070352,0.788945,1,0.065327,0,0.025126,0.015075,0.070352,1,162,28.015075,31.992042,0,60.832,25.267296,23.717753,40,18268,3190.924623,3746.50994,40,775,108.683417,74.990226,50,149,1
1769643,1,1,2,0,1,1,1,224,225,1.004464,0,0,2,0,0,0.995556,1,0,2,2,2,0,2.816,3.168,2.975147,0.071608,104,104,104,0,52,52,52,0,225,0,1
1769836,1,1,2,0,1,1,1,469,470,1.006397,0,0,2,0,0,0.993644,0.995763,0,1,2,1.995763,0.064818,0,3.136,2.945153,0.199146,52,104,103.779661,3.370542,52,52,52,0,472,0,1
1769915,1,1,1,0,1,1,1,30,30,1,0,0,2,0,0,1,1,0,2,2,2,0,2.816,3.072,2.9408,0.058156,96,96,96,0,48,48,48,0,30,0,1
1770385,1,1,1,0,1,1,1,66,65,1,0,0,2,0,0,1,0.984848,0,2,2,2,0,2.848,3.072,2.958061,0.047915,96,96,96,0,48,48,48,0,66,0,1
1770670,1,1,2,0,1,1,1,83,83,1,0,0,2,0,0,1,1,0,2,2,2,0,2.848,3.168,2.983711,0.069076,96,96,96,0,48,48,48,0,83,0,1
1770678,1,1,1,0,1,1,1,60,60,1,0,0,2,0,0,1,1,0,2,2,2,0,2.816,3.072,2.962667,0.059257,96,96,96,0,48,48,48,0,60,0,1
1771123,1,1,2,0,1,1,1,186,181,1,0,0,2,0,0,1,0.973118,0,1,2,1.994624,0.072663,0,3.136,2.945204,0.222606,48,96,95.741935,3.487818,48,48,48,0,186,0,1
1771507,1,1,2,1,1,1,1,366,355,1.002732,0,0.002725,2,0,0,0.997275,0.967302,0,1,2,1.997275,0.051746,0,3.072,2.945744,0.161636,96,315,96.59673,11.332286,48,315,48.72752,13.816074,366,1,1
1771567,1,1,2,0,1,1,1,120,117,1.016667,0,0,2,0,0,0.983607,0.959016,0,2,2,2,0,2.816,3.168,2.990164,0.079752,96,96,96,0,48,48,48,0,122,0,1
