ip,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,a1,a2,a3,blah,threev,something,aa,ab,ac,af,ag,ap
806092,0.95,0.83,3,0,0,0,0,0,0,25,16,0,0,0.895,0,0,0,0.125,0.08,0,1,100,3.23,9.72982067,0,59.776,3.35056,9.261644728,40,13812,436.065,1347.394583,40,576,136.55,62.34537991,25,175
806886,1,1,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0.571428571,0.142857143,0,1,1,1,0,0,0,0,0,46,46,46,0,46,46,46,0,0,7
853154,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,1
853404,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,129,129,129,0,129,129,129,0,0,1
853444,1,0.285714286,1,0,0,0,0,0,0,2,4,0,0,0.285714286,0,0,0,0.285714286,0.571428571,0,1,3,2.571428571,0.672291625,0,9.632,7.492571429,2.996493081,116,211,155.4285714,23.93901591,50,131,66.71428571,24.82354155,3,4
855543,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,5,5,5,0,0.832,0.832,0.832,0,230,230,230,0,46,46,46,0,0,1
858216,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,5,5,5,0,0.8,0.8,0.8,0,230,230,230,0,46,46,46,0,0,1
859044,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,2,2,2,0,2.912,2.912,2.912,0,258,258,258,0,129,129,129,0,0,1
864978,0.142857143,0.142857143,1,0,0,0,0,0,0,4,19,0,0.047619048,0.047619048,0,0.047619048,0,0.19047619,0.904761905,0.095238095,1,7,3.142857143,1.202761341,0,8.192,5.638095238,2.409287452,46,504,144.5714286,87.06476661,41,72,44.14285714,6.420814546,18,3
865357,1,0.666666667,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0.333333333,0.166666667,0,1,5,2.333333333,1.533816349,0,21.952,7.258666667,8.361134352,48,250,115.3333333,77.45772563,48,50,48.66666667,0.766908175,0,6
866954,1,1,2,0,0,0,0,0,0,10,1,0,0,1,0,0,0,0.833333333,0.083333333,0,1,1,1,0,0,0,0,0,126,326,185.1666667,74.0137396,126,326,185.1666667,74.0137396,0,12
873448,1,1,2,0,0,0,0,0,0,11,1,0,0,1,0,0,0,0.037414966,0.003401361,0,1,1,1,0,0,0,0,0,126,126,126,0,126,126,126,0,0,294
913414,0.384615385,0.384615385,1,0,0,0,0,0,0,1,12,0,0.615384615,0.153846154,0,0.153846154,0.076923077,0.076923077,0.923076923,0.692307692,1,16,6.923076923,4.490929646,0,14.336,4.371692308,4.250474665,49,1207,421.7692308,308.816178,49,75,56.61538462,6.092825147,11,2
1769491,0.733333333,0.333333333,2,0,0,0,0,0,0,4,3,0,0.266666667,0.333333333,0,0.133333333,0,0.266666667,0.2,0.266666667,1,17,5.8,4.785256358,0,56.128,14.74986667,19.33800239,95,1780,436.4,391.5695417,42,197,80.13333333,41.5694239,4,11
1769553,1,1,2,0,0,0,0,0,0,158,155,0,0,0,0,0,0,0.993710692,0.974842767,0,2,2,2,0,2.816,3.168,2.955069182,0.060556573,96,96,96,0,48,48,48,0,159,0
1769573,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,2,2,2,0,1.76,1.76,1.76,0,630,630,630,0,315,315,315,0,0,1
1769643,1,1,2,0,0,0,0,0,0,372,374,0,0,0.002659574,0,0,0,0.989361702,0.994680851,0,1,2,1.997340426,0.051359286,0,3.2,2.978382979,0.171631432,104,131,104.0718085,1.386700716,52,131,52.21010638,4.057383576,375,1
